name_correct,name_source,woj
"""ALEXANDER MANN SOLUTIONS POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Alexander Mann Solutions Poland Sp. z o.o.,12
"""ALEXANDER MANN SOLUTIONS POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ALEXANDER MANN SOLUTIONS POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,12
"""ALFA GUARD SECURITY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""ALFA GUARD SECURITY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",22
"""ALFA GUARD SECURITY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ALFA GUARD SECURITY,22
"""ALFA GUARD SECURITY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ALFA GUARD SECURITY SP. Z O.O.,22
"""ALLMIZ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""ALLMIZ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",06
"""ALLMIZ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Allmiz Sp. z o.o.,06
"""AMI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA","""AMI"" SP.Z O. O. SP. K.",30
"""AMI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA","""AMI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWO-AKCYJNA",30
"""AMI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA",AMI spółka z ograniczoną odpowiedzialnością sp.k.,30
"""AMLUX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",'AMLUX' SPÓŁA Z OGRANIONĄ ODPOWIEDZIALNOŚCIĄ,14
"""AMLUX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""AMLUX"" Sp. z o. o.",14
"""AMLUX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""Amlux"" Sp. z o.o.",14
"""AMLUX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""AMLUX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",14
"""AMLUX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Amlux Sp. z o. o.,14
"""AMLUX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AMLUX SP. Z O. O.,14
"""AMLUX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Amlux Sp. z o.o.,14
"""AMLUX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AMLUX Sp. z o.o.,14
"""AMLUX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AMLUX SP. Z O.O. ,14
"""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",02
"""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ  (Pizza Hut, KFC, Burger King)",02
"""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ - KFC, STARBAGS, PIZZA HUT, BURGER KING",02
"""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AmRest  Sp. z o.o. Wrocław,02
"""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AMREST SP. Z  O.O.,02
"""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Amrest Sp. z o. o.,02
"""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AmRest sp. z o. o.,02
"""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AMREST SP. Z O.O,02
"""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Amrest Sp. z o.o.,02
"""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AmRest Sp. z o.o.,02
"""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AMREST SP. Z.O.O,02
"""AMREST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AmRest Sp.z o.o.,02
"""AMZ-KUTNO"" SPÓŁKA AKCYJNA",AMZ KUTNO,10
"""AMZ-KUTNO"" SPÓŁKA AKCYJNA",AMZ Kutno S.A. ,10
"""ARTLINE""   WOJCIECH RUSINOWSKI","""Artline"" W.Rusinowski",24
"""ARTLINE""   WOJCIECH RUSINOWSKI",ARTLINE Wojciech Rusinowski,24
"""AS - BABUNI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""AS-BABUNI"" SP. Z O.O.",06
"""AS - BABUNI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",As-Babuni sp. z o.o.,06
"""ASO MR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"" SPÓŁKA KOMANDYTOWA",ASO MR Sp. z o.o. Sp.k.,14
"""ASO MR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"" SPÓŁKA KOMANDYTOWA",ASO MR SP. Z O.O. SPÓŁKA KOMANDYTOWA,14
"""ASO MR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"" SPÓŁKA KOMANDYTOWA",Autoryzowana Stacja Obsługi MR Sp. z o.o. Sp. komandytowa Radom,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""Auchan Polska"" Sp. z o.o.",14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AUCHAN POLSKA  Sp. z o.o.,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AUCHAN POLSKA  SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Auchan Polska Sp. z o o,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AUCHAN POLSKA Sp. z o. o.,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Auchan Polska Sp. z o.o.,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AUCHAN Polska Sp. z o.o.,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AUCHAN POLSKA Sp. z o.o.,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AUCHAN POLSKA SP. Z O.O.,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Auchan Polska Sp. z o.o. ,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AUCHAN POLSKA Sp. z o.o. ,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Auchan Polska Sp.z o.o Centrum Handlowe Swadzim,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AUCHAN POLSKA SP.Z O.O.,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AUCHAN POLSKA Sp.z.o.o,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AUCHAN POLSKA SP.ZO.O,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Auchan Polska Spółka z o.o.,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AUCHAN POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,14
"""AUCHAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",KRAKBAU SPÓŁKA AKCYJNA,14
"""AUTOSALON-EUCAR"" W EŁKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""AUTOSALON EUCAR"" SPÓŁKA Z O.O.",28
"""AUTOSALON-EUCAR"" W EŁKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Autosalon EUCAR w Ełku Sp. z o.o.,28
"""AWAX-PLAST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AWAX - PLAST Sp. z o.o.,24
"""AWAX-PLAST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AWAX PLAST Sp. z o. o.,24
"""BACKER OBR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",BACKER OBR  Sp. z o.o.,32
"""BACKER OBR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Backer OBR Sp. z o.o.,32
"""BADER POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",BADER POLSKA Sp.z o.o.,02
"""BADER POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Bader Polska Spółka z o.o.,02
"""BAJKA"" ALICJA ŚLIWIŃSKA, DANUTA KRZYŻANOWSKA SPÓŁKA JAWNA",BAJKA Alicja Śliwińska Danuta Krzyżanowska Spółka Jawna,08
"""BAJKA"" ALICJA ŚLIWIŃSKA, DANUTA KRZYŻANOWSKA SPÓŁKA JAWNA","Bajka Alicja Śliwińska, Danuta Krzyżanowska s.j.",08
"""BAKOMA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",BAKOMA Sp. z o.o,14
"""BAKOMA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",BAKOMA SP. Z O.O.,14
"""BANK ZACHODNI WBK SPÓŁKA AKCYJNA""",Bank Zachodni WBK Spółka Akcyjna 1 Oddział w Makowie Mazowieckim,02
"""BANK ZACHODNI WBK SPÓŁKA AKCYJNA""",Santander Bank Polska S.A.,02
"""BANK ZACHODNI WBK SPÓŁKA AKCYJNA""",SANTANDER BANK POLSKA SPÓŁKA AKCYJNA,02
"""Bar u Reni"" Sławomir Masternak","""BAR  u  RENI""  Sławomir Masternak  ",26
"""Bar u Reni"" Sławomir Masternak","""Bar u Reni"" Sławomir Masternak",26
"""BARA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Bara Sp. z o. o.,22
"""BARA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",BARA Sp. z o. o.,22
"""BAZA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""BAZA"" Spółka z o.o.",04
"""BAZA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",BAZA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,04
"""BDG"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",BDG sp. Z o.o.,12
"""BDG"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",BDG Sp. z o.o. - STACJA PALIW LOTOS,12
"""BESKIDVISION"" SPÓŁKA JAWNA SYLWIA RUSIN I IWETTA KACZMARCZYK","""BESKIDVISION"" SPÓŁKA JAWNA SYLWIA RUSIN I IWETTA KACZMARCZYK",24
"""BESKIDVISION"" SPÓŁKA JAWNA SYLWIA RUSIN I IWETTA KACZMARCZYK",Biuro Podróży Beskidvision Sp Jawna s. Rusin,24
"""BIURO OCHRONY SKORPION"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Biuro Ochrony Skorpion Sp. z o.o.,28
"""BIURO OCHRONY SKORPION"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Biuro Ochrony Skorpion Sp. z o.o. w Ostródzie,28
"""BIZNES PARTNER"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""BIZNES PARTNER"" Sp. z o.o. ",10
"""BIZNES PARTNER"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",BIZNES PARTNER sp zoo,10
"""BIZNES PARTNER"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Biznes Partner Sp. z o.o.,10
"""BIZNES PARTNER"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Biznes Partner Sp.z o.o. Agencja Pracy Tymczasowej,10
"""BLASK""- SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Blask Sp. z o.o.,10
"""BLASK""- SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",BLASK SP. Z O.O.,10
"""BLASK""- SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",BLASK Spółka z O.O.,10
